user, technique, session, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length, word_length
gd, dwell, 3, the, 3, Click, Yes, 2.273, 0.962, 0.117852540793, 5.74330434613, 5.44283058237
gd, dwell, 3, best, 4, Click, Yes, 2.786, 0.863, 0.185641371332, 7.27676272818, 7.41616766778
gd, dwell, 3, friend, 6, Click, Yes, 5.324, 1.111, 0.294811751739, 16.4555006687, 18.2302248884
gd, dwell, 3, of, 2, Click, Yes, 1.178, 1.094, 0.290600372983, 4.03060321467, 4.60977222865
gd, dwell, 3, a, 1, Click, Yes, 0.0, 1.144, 0.128603045784, 0, 0
gd, dwell, 3, man, 3, Click, Yes, 2.654, 0.0, 0.267354571983, 12.2417020309, 12.1666431627
gd, dwell, 3, do, 2, Click, Yes, 1.111, 1.128, 0.212447242391, 5.38316808276, 5.59016994375
gd, dwell, 3, not, 3, Click, Yes, 2.056, 1.261, 0.264573187044, 6.37006253985, 6.82842712475
gd, dwell, 3, walk, 4, Click, Yes, 3.001, 0.83, 0.145415288263, 10.785572364, 10.1180339887
gd, dwell, 3, too, 3, Click, Yes, 1.907, 1.343, 0.232526043686, 4.27848595144, 4.0
gd, dwell, 3, quickly, 7, Click, Yes, 10.266, 0.0, 0.178899031495, 19.5762365483, 20.7219631283
gd, dwell, 3, it, 2, Click, Yes, 0.979, 1.094, 0.192086254589, 2.75571641705, 3.0
gd, dwell, 3, is, 2, Click, No, 1.54, 1.244, 0.587024959547, 6.10140478201, 5.59016994375
gd, dwell, 3, difficult, 9, Click, No, 21.129, 0.812, 1.28751518761, 27.7090840297, 27.2699239806
gd, dwell, 3, to, 2, Click, Yes, 1.127, 1.029, 0.202207078744, 3.62299883831, 4.0
gd, dwell, 3, concentrate, 11, Click, No, 11.892, 0.0, 0.324760954164, 27.5817338067, 30.0828603373
gd, dwell, 3, a, 1, Click, Yes, 0.0, 1.277, 0.290076355928, 0, 0
gd, dwell, 3, very, 4, Click, Yes, 2.82, 0.829, 0.394031457962, 5.00209531343, 5.82842712475
gd, dwell, 3, traditional, 11, Click, Yes, 11.809, 1.243, 0.249889384228, 32.1399859729, 33.7209517007
gd, dwell, 3, way, 3, Click, Yes, 1.941, 1.011, 0.229842152153, 6.14696792296, 5.7278062174
gd, dwell, 3, to, 2, Click, Yes, 1.841, 1.244, 0.408869251906, 3.20330643518, 4.0
gd, dwell, 3, dress, 5, Click, Yes, 3.466, 0.0, 0.254676968686, 2.81941445907, 3.2360679775
gd, dwell, 3, olympic, 7, Click, Yes, 6.784, 1.21, 0.198995777454, 17.5385399596, 16.8870791379
gd, dwell, 3, athletes, 8, Click, No, 7.397, 0.995, 0.280280799904, 19.590523445, 20.1373377901
gd, dwell, 3, use, 3, Click, Yes, 1.758, 1.377, 0.10879070456, 5.92862095015, 5.7278062174
gd, dwell, 3, drugs, 5, Click, No, 3.797, 0.0, 0.346703249659, 8.51589113293, 8.92080962648
gd, dwell, 3, be, 2, Click, Yes, 3.566, 2.504, 0.244103203766, 3.34581807326, 3.60555127546
gd, dwell, 3, home, 4, Click, Yes, 3.897, 1.095, 0.246473735914, 10.7189553937, 10.3138151882
gd, dwell, 3, before, 6, Click, Yes, 5.29, 1.094, 0.228236969277, 15.3195315864, 16.0180991418
gd, dwell, 3, midnight, 8, Click, Yes, 7.511, 0.0, 0.235506291127, 18.1583106337, 17.9812531921
gd, dwell, 3, house, 5, Click, Yes, 3.532, 0.945, 0.238281761997, 9.83989787956, 10.420388621
