technique, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, spectacular, 11, Select, Yes, 4.5595, 0.0, 0.170272005718, 0.127726003633, 0.649811741908, 42.1211767447, 9.23811311431
normal, explosion, 9, Select, Yes, 3.366, 0.0, 0.0364357050607, 0.142082732969, 0.407198264163, 28.0978815244, 8.34755838514
normal, be, 2, Select, Yes, 0.5473, 0.0, 0.0138786113091, 0.233673312137, 0.434643669341, 3.58910624031, 6.55784074604
normal, home, 4, Select, Yes, 1.3433, 0.0, 0.00769852325625, 0.0429857269916, 0.360217015546, 11.7034304646, 8.71244730483
normal, before, 6, Select, Yes, 1.8243, 0.0, 0.0417249020175, 0.238649977241, 0.14661552457, 15.9208216727, 8.72708527803
normal, midnight, 8, Select, Yes, 3.1176, 0.0, 0.084370499536, 0.616182251359, 0.242516795501, 18.9284961222, 6.07149606178
normal, no, 2, Select, Yes, 0.6301, 0.0, 0.00706582595091, 0.178069877082, 0.0349805684488, 3.31438424037, 5.26009243036
normal, exchange, 8, Select, Yes, 3.3988, 0.0, 0.225486585025, 0.289188164407, 0.642839716433, 20.7908887615, 6.11712626853
normal, without, 7, Select, Yes, 2.1557, 0.0, 0.0816177717795, 0.146528514266, 0.178390194624, 17.9176845435, 8.31177090668
normal, a, 1, Select, Yes, 0.0666000000001, 0.0, 0.0, 0.203485658854, 0.203485658854, 0, 0.0
normal, bill, 4, Match, Yes, 1.1114, 0, 0.00445195291646, 0.0401378071773, 0.212893249628, 4.47088804478, 4.02275332444
normal, make, 4, Select, Yes, 1.6412, 0.0, 0.0973697830578, 0.992447625109, 0.15339080536, 17.0282201015, 10.3754692307
normal, up, 2, Select, Yes, 14.9206, 0.0, 0.0107046687497, 0.309329849295, 0.144312923666, 2.69999937579, 0.180957828492
normal, a, 1, Select, Yes, 14.7377, 0.0, 0.0, 0.1470731311, 0.1470731311, 0, 0.0
normal, few, 3, Select, Yes, 15.1852, 0.0, 0.0147482034871, 0.263628977637, 0.143431140559, 2.69529557648, 0.177494901383
normal, more, 4, Select, Yes, 15.5827, 0.0, 0.0119819744155, 0.183890573703, 0.186785604547, 8.65771685034, 0.555597993309
normal, phrases, 7, Select, Yes, 19.4944, 0.0, 0.246648128247, 0.248452520265, 0.113146907837, 13.0222590087, 0.667999990188
normal, user, 4, Select, Yes, 0.862, 0.0, 0.0235615092572, 0.379421612227, 0.129613506029, 7.05794878897, 8.18787562526
normal, friendly, 8, Select, Yes, 2.9509, 0.0, 0.167558552789, 0.271021059316, 0.0506885705559, 29.8593736734, 10.1187345127
normal, interface, 9, Select, Yes, 2.6528, 0.0, 0.0968704105506, 0.115374088053, 0.170300232672, 18.6352516384, 7.02474805429
normal, pay, 3, Match, Yes, 1.5253, 0, 0.0526555534917, 0.107895179429, 0.195170105646, 12.3709520846, 8.11050421856
normal, off, 3, Match, Yes, 1.1607, 0, 2.6889841476e-05, 0.446471009877, 0.472598766952, 4.65841812437, 4.01345578045
normal, a, 1, Select, Yes, 0.7959, 0.0, 0.0, 0.164999686778, 0.164999686778, 0, 0.0
normal, mortgage, 8, Select, Yes, 3.2497, 0.0, 0.0968328638737, 0.154024776091, 0.312409835538, 19.8652845913, 6.11295953206
normal, for, 3, Match, Yes, 1.0447, 0, 0.0174507774829, 0.130374320731, 0.032038131812, 9.63166357475, 9.21954970303
normal, a, 1, Select, Yes, 0.6468, 0.0, 0.0, 0.505993640852, 0.505993640852, 0, 0.0
normal, house, 5, Select, Yes, 0.9783, 0.0, 0.0187818847511, 0.157892243945, 0.452295487054, 10.8590748584, 11.0999436352
normal, this, 4, Select, Yes, 1.1441, 0.0, 0.0306767740882, 0.165123839212, 0.0900903769167, 9.02584591336, 7.88903584771
normal, leather, 7, Select, Yes, 2.1217, 0.0, 0.0593015700976, 0.185838194043, 0.291627975702, 18.5704590303, 8.75263186608
normal, jacket, 6, Select, Yes, 2.9673, 0.0, 0.286355435404, 0.209279139584, 0.118493492534, 21.6758199696, 7.3048966972
normal, is, 2, Select, Yes, 0.5472, 0.0, 0.000443066338994, 0.24159003805, 0.217300394977, 5.68523202848, 10.3896784146
normal, too, 3, Match, Yes, 0.5969, 0, 5.65870802967e-05, 0.350908585512, 0.588639454397, 4.88172353337, 8.1784612722
normal, warm, 4, Select, Yes, 2.072, 0.0, 0.0295425669796, 0.325499133131, 0.120901876991, 8.23981694275, 3.97674562874
normal, be, 2, Select, Yes, 0.547, 0.0, 0.00390163162383, 0.317575340126, 0.474634959274, 3.95981839889, 7.23915612228
normal, persistent, 10, Select, Yes, 6.68, 0.0, 0.207095386639, 0.105428255591, 0.18653578053, 33.3928498156, 4.99892961312
normal, to, 2, Match, Yes, 0.498, 0, 1.36163652249e-05, 0.159625985081, 0.397782824925, 4.30872994472, 8.65206816208
normal, win, 3, Match, Yes, 1.773, 0, 0.0187482364082, 0.649197161215, 0.112767690395, 9.23353972066, 5.20786222259
normal, a, 1, Select, Yes, 0.696, 0.0, 0.0, 0.401015942539, 0.401015942539, 0, 0.0
normal, strike, 6, Select, Yes, 1.757, 0.0, 0.0895802424198, 0.124730299001, 0.384326548032, 13.7902733427, 7.84876115123
normal, the, 3, Match, Yes, 0.813, 0, 0.030927097194, 0.121690656798, 0.251598363637, 5.86178675553, 7.21006981
normal, location, 8, Match, Yes, 2.918, 0, 0.0633953548304, 0.554505740249, 0.129940773297, 19.2676692299, 6.60303948935
normal, of, 2, Select, Yes, 1.028, 0.0, 0.000243999887161, 0.332492258233, 0.412863436992, 4.92835215567, 4.79411688295
normal, the, 3, Select, Yes, 0.729, 0.0, 0.0151615932943, 0.674269527006, 0.146985693892, 5.69523733713, 7.81239689593
normal, crime, 5, Select, Yes, 1.592, 0.0, 0.0194527996276, 0.323612902445, 0.35260484817, 13.7956721019, 8.66562317961
normal, where, 5, Select, Yes, 1.21, 0.0, 0.0220917460726, 0.512081777088, 0.0105828939804, 8.80261336528, 7.27488707874
normal, can, 3, Select, Yes, 0.928, 0.0, 0.0344851039604, 0.425125391164, 0.27516194202, 8.2183679612, 8.85599995819
