technique, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length
dwell, concentrate, 11, Click, No, 11.892, 0.0, 0.324760954164, 27.5817338067
dwell, a, 1, Click, Yes, 0.0, 1.277, 0.290076355928, 0
dwell, very, 4, Click, Yes, 2.82, 0.829, 0.394031457962, 5.00209531343
dwell, traditional, 11, Click, Yes, 11.809, 1.243, 0.249889384228, 32.1399859729
dwell, way, 3, Click, Yes, 1.941, 1.011, 0.229842152153, 6.14696792296
dwell, to, 2, Click, Yes, 1.841, 1.244, 0.408869251906, 3.20330643518
dwell, dress, 5, Click, Yes, 3.466, 0.0, 0.254676968686, 2.81941445907
dwell, olympic, 7, Click, Yes, 6.784, 1.21, 0.198995777454, 17.5385399596
dwell, athletes, 8, Click, No, 7.397, 0.995, 0.280280799904, 19.590523445
dwell, use, 3, Click, Yes, 1.758, 1.377, 0.10879070456, 5.92862095015
dwell, drugs, 5, Click, No, 3.797, 0.0, 0.346703249659, 8.51589113293
dwell, be, 2, Click, Yes, 3.566, 2.504, 0.244103203766, 3.34581807326
dwell, home, 4, Click, Yes, 3.897, 1.095, 0.246473735914, 10.7189553937
dwell, before, 6, Click, Yes, 5.29, 1.094, 0.228236969277, 15.3195315864
dwell, midnight, 8, Click, Yes, 7.511, 0.0, 0.235506291127, 18.1583106337
dwell, house, 5, Click, Yes, 3.532, 0.945, 0.238281761997, 9.83989787956
dwell, with, 4, Click, Yes, 2.835, 0.945, 0.249770622262, 11.3028617793
dwell, new, 3, Click, Yes, 1.84, 1.079, 0.320508252732, 4.92767875275
dwell, electrical, 10, Click, No, 11.26, 0.912, 2.45196213565, 34.9111452021
dwell, panel, 5, Click, Yes, 4.941, 0.0, 0.15458932281, 24.5936895943
dwell, be, 2, Click, Yes, 1.16, 1.228, 0.293502279737, 3.81907292683
dwell, persistent, 10, Click, Yes, 10.532, 1.973, 0.231658512459, 33.1617804986
dwell, to, 2, Click, Yes, 1.194, 1.46, 0.11109933028, 3.99723236592
dwell, win, 3, Click, Yes, 2.073, 0.995, 0.236766801983, 7.76708402152
