user, technique, session, word, len, class, correct, dwell_duration, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
gyz, normal, 3, subject, 7, Undo, No, 0.863, 1.0954, 0, 4.37963995203, 7.27120852122, 3.99365416469, 1.51168055086, 1.38002606432
gyz, normal, 1, elections, 9, Match, Yes, 0, 4.33767, 0, 0.388378569593, 0.103401567846, 0.446635894837, 33.3412919615, 7.68645193422
gyz, normal, 1, bring, 5, Match, Yes, 1.67783, 1.51197, 0, 0.279673159417, 0.0897944861782, 0.469172538349, 10.480728817, 6.93183648951
gyz, normal, 1, out, 3, Match, Yes, 1.34588, 0.53181, 0, 0.26773705678, 0.308128632206, 0.277173408755, 3.68764364356, 6.93413746181
gyz, normal, 1, the, 3, Match, Yes, 0.56497, 1.01326, 0, 0.211068422772, 0.328144463749, 0.0666009603835, 4.84461856882, 4.78121959696
gyz, normal, 1, best, 4, Match, Yes, 1.04656, 1.17965, 0, 0.253160738901, 0.26394988793, 0.267083578533, 7.75032885074, 6.57002403318
gyz, normal, 1, time, 4, Match, Yes, 0, 1.47849, 0, 0.39607903621, 0.230777400297, 0.149573573993, 10.382518787, 7.02238012231
gyz, normal, 1, to, 2, Match, Yes, 0.89701, 0.49864, 0, 0.0464015694686, 0.0597209142093, 0.101624018824, 4.01075830485, 8.04339464313
gyz, normal, 1, go, 2, Match, Yes, 0.89722, 0.51522, 0, 0.0937275296575, 0.033778362897, 0.205561098618, 3.59376005713, 6.97519517318
gyz, normal, 1, shopping, 8, Match, Yes, 1.32884, 1.91101, 0, 0.143510759157, 0.0707978756532, 0.0191184672241, 14.1407272727, 7.39960924994
gyz, normal, 1, watch, 5, Match, Yes, 0, 1.32917, 0, 0.257862074399, 0.235310879224, 0.267029014184, 10.6821756733, 8.03672643325
