technique, size, speed, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, 0.8, 2.0, fox, 3, Match, Yes, 2.073, 0, 0.210746952662, 0.45527164268, 0.368290833686, 10.6281596621, 5.12694629143
normal, 0.8, 2.0, jumped, 6, Match, Yes, 8.889, 0, 0.364841183469, 0.386315923297, 0.25181983713, 13.3612886416, 1.5031261831
normal, 0.8, 2.0, for, 3, Select, Yes, 1.957, 2.123, 0.388586963337, 0.112358262985, 0.223200927563, 9.72378823215, 4.96872163115
normal, 0.8, 2.0, murder, 6, Match, Yes, 4.329, 0, 0.254216940246, 0.0768128361474, 0.531061218623, 8.69974560442, 2.00964324426
normal, 0.8, 2.0, you, 3, Match, Yes, 1.642, 0, 0.186776315799, 0.186598540201, 0.184938878468, 6.09491231223, 3.71188325958
normal, 0.8, 2.0, get, 3, Select, Yes, 1.476, 1.874, 0.472268173779, 0.263082276243, 0.609031738316, 4.72959702589, 3.20433402838
normal, 0.8, 2.0, a, 1, Match, Yes, 1.359, 0, 0.364472237135, 0.364472237135, 0.364472237135, 0, 0.0
normal, 0.8, 2.0, long, 4, Match, Yes, 2.255, 0, 0.318071468704, 0.329450144119, 0.505880328003, 5.02945387185, 2.23035648419
normal, 0.8, 2.0, prison, 6, Match, Yes, 4.129, 0, 0.234293774178, 0.139205019141, 0.37186690654, 26.0562737023, 6.31055308848
normal, 0.8, 2.0, sentence, 8, Match, Yes, 5.521, 0, 0.371843658401, 0.256018404651, 0.334518074485, 19.7891127236, 3.58433485303
normal, 0.4, 2.0, players, 7, Match, Yes, 3.915, 0, 0.332126294045, 0.0791351562455, 0.325182047773, 21.7281895321, 5.54998455482
normal, 0.4, 2.0, must, 4, Match, Yes, 2.604, 0, 0.542923797768, 0.11606978889, 0.327893368065, 11.3793423912, 4.36994715484
normal, 0.4, 2.0, know, 4, Match, Yes, 2.953, 0, 0.527410070775, 0.419022771529, 0.661644314727, 11.4659935722, 3.88282884259
normal, 0.4, 2.0, all, 3, Match, Yes, 1.393, 0, 0.213808410203, 0.267780295895, 0.295882694649, 8.16632528739, 5.86240149848
normal, 0.4, 2.0, the, 3, Match, Yes, 1.294, 0, 0.230689167088, 0.171861794128, 0.18327711897, 6.09662522966, 4.71145690082
normal, 0.4, 2.0, rules, 5, Match, Yes, 2.505, 0, 0.157465933128, 0.160611158744, 0.265546815473, 13.4559702388, 5.37164480593
normal, 0.4, 2.0, we, 2, Match, Yes, 0.581, 0, 0.176291487542, 0.169007141299, 0.320799734771, 1.10301625736, 1.89847892833
normal, 0.4, 2.0, went, 4, Match, Yes, 1.924, 0, 0.443499181037, 0.187445881454, 0.245669684505, 9.96119723317, 5.17733743928
normal, 0.4, 2.0, grocery, 7, Match, Yes, 3.616, 0, 0.440772084732, 0.38848357789, 0.401821161785, 19.9008515937, 5.50355409119
normal, 0.4, 2.0, shopping, 8, Match, Yes, 3.749, 0, 0.273449799993, 0.296973051289, 0.0363587281681, 15.1370383905, 4.03762026954
normal, 0.4, 2.0, take, 4, Match, Yes, 2.704, 0, 0.665228097985, 0.458576451905, 0.264049156865, 19.5511153929, 7.23044208316
normal, 0.4, 2.0, it, 2, Select, Yes, 0.779, 1.742, 0.392500984689, 0.0508626748019, 0.444927858742, 3.36239888199, 4.31630151732
normal, 0.4, 2.0, to, 2, Match, Yes, 0.996, 0, 0.285616384109, 0.379813862434, 0.449371604476, 3.95595718912, 3.97184456739
normal, 0.4, 2.0, the, 3, Match, Yes, 5.638, 0, 0.228331271371, 0.0795446161346, 0.239208284221, 6.03779649652, 1.0709110494
normal, 0.4, 2.0, recycling, 9, Match, Yes, 12.885, 0, 0.526135056187, 0.0876466456004, 0.478286955258, 24.8857637113, 1.93137475446
normal, 0.4, 2.0, depot, 5, Match, Yes, 2.422, 0, 0.358505985911, 0.152416776718, 0.377097500778, 13.0539838352, 5.38975385432
normal, 0.4, 2.0, beautiful, 9, Select, Yes, 4.063, 2.438, 1.05948605505, 0.200898660934, 0.199248894122, 25.5151740006, 6.27988530658
normal, 0.4, 2.0, paintings, 9, Match, Yes, 6.783, 0, 0.447606996861, 0.368487370428, 0.339711026492, 31.6069336694, 4.65972780029
normal, 0.4, 2.0, in, 2, Match, Yes, 1.029, 0, 0.270693705758, 0.414289181945, 0.208142443615, 2.54014028364, 2.46855226787
normal, 0.4, 2.0, the, 3, Select, Yes, 1.46, 1.774, 0.709868322261, 0.223322735558, 0.637281492286, 7.67774689247, 5.25873074827
normal, 0.4, 2.0, gallery, 7, Match, Yes, 4.344, 0, 0.439307902072, 0.200672213567, 0.328895017531, 22.2701378849, 5.1266431595
normal, 0.4, 2.0, make, 4, Match, Yes, 2.603, 0, 0.285105015976, 0.273638533524, 0.104157106301, 18.6108326484, 7.14976283074
normal, 0.4, 2.0, up, 2, Match, Yes, 0.697, 0, 0.30780940558, 0.268572498825, 0.199892975614, 3.33050534958, 4.77834339969
normal, 0.4, 2.0, a, 1, Select, Yes, 0.116, 2.305, 0.546995819725, 0.546995819725, 0.546995819725, 0, 0.0
normal, 0.4, 2.0, few, 3, Match, Yes, 1.659, 0, 0.238938624007, 0.290054680914, 0.152253544543, 3.11785110294, 1.87935569798
normal, 0.4, 2.0, more, 4, Select, Yes, 1.41, 7.296, 0.432832204916, 0.531314927508, 0.456344006539, 8.31703314465, 5.89860506713
normal, 0.4, 2.0, phrases, 7, Match, Yes, 6.451, 0, 0.185941420878, 0.259053596138, 0.192289948151, 12.8770130194, 1.99612665003
normal, 0.4, 2.0, staying, 7, Match, Yes, 4.063, 0, 0.687859728971, 0.0754560630433, 0.414241206242, 21.183772373, 5.21382534409
normal, 0.4, 2.0, up, 2, Match, Yes, 1.277, 0, 0.191706321825, 0.381919661065, 0.253163891284, 3.43707924607, 2.69152642605
normal, 0.4, 2.0, all, 3, Match, Yes, 1.376, 0, 0.132311884473, 0.0711666582959, 0.409387681228, 7.86078589251, 5.71278044513
normal, 0.4, 2.0, night, 5, Select, Yes, 2.388, 2.404, 0.391191714456, 0.362942107721, 0.381622920868, 8.1943354454, 3.43146375436
normal, 0.4, 2.0, is, 2, Select, Yes, 2.437, 1.725, 0.321077265087, 0.134983340868, 0.398632289362, 5.75225415377, 2.3603833212
